,,,,,,,,,,,
A,B,C,D,Volume,Area,Area Formula,Volume Formula,Area:Volume Imagem,Peso fora,Densidade Arquimedes,Embriodiagnostico
54.19,41.39,27.34,26.85,33.81,61.08,65.22,48.62,1.81,47.50,1067.68,Nascido
59.22,44.18,30.10,29.12,43.39,72.77,75.62,60.51,1.68,57.80,1058.43,Nascido
56.61,45.30,29.43,27.18,42.22,69.43,75.44,60.83,1.64,56.30,1070.24,Nascido
55.44,42.77,28.43,27.01,38.69,63.86,69.11,53.10,1.65,50.30,1061.30,Nascido
57.46,43.11,32.00,25.47,37.17,66.30,71.77,55.93,1.78,52.80,1062.39,Nascido
57.38,44.03,29.43,27.96,40.48,70.47,73.54,58.25,1.74,55.10,1069.84,Nascido
57.49,41.87,30.53,26.96,36.44,64.38,69.21,52.77,1.77,52.10,1074.29,Nascido
57.69,41.31,29.20,28.48,33.71,62.63,68.25,51.56,1.86,52.40,1067.25,Nascido
58.15,42.62,31.09,27.06,38.42,66.65,71.36,55.30,1.73,54.90,1068.04,Nascido
58.69,43.39,29.59,29.10,41.10,68.93,73.47,57.87,1.68,57.30,1074.91,Nascido
54.20,43.11,27.46,26.74,36.59,63.19,68.63,52.75,1.73,47.80,1064.83,Nascido
58.00,42.20,30.12,27.89,41.85,67.56,70.34,54.07,1.61,48.70,1054.29,Nascido
57.52,42.71,29.16,28.37,42.59,66.97,70.95,54.95,1.57,51.20,1068.99,Nascido
63.45,44.39,33.60,29.85,52.19,78.73,80.26,65.48,1.51,60.40,1059.39,Nascido
61.17,43.56,31.75,29.43,45.48,73.34,76.21,60.77,1.61,55.30,1067.49,Nascido
61.31,42.08,31.66,29.64,42.15,73.62,73.18,56.83,1.75,53.10,1059.88,Nascido
59.33,45.77,32.92,26.41,49.32,75.98,79.21,65.09,1.54,57.50,1070.62,Nascido
55.67,43.39,28.35,27.32,37.57,67.76,70.59,54.89,1.80,51.20,1068.99,Nascido
55.95,43.16,29.60,26.35,39.85,66.65,70.39,54.57,1.67,53.60,1069.86,Nascido
59.98,44.43,31.37,28.62,45.05,75.50,76.91,61.99,1.68,58.60,1065.26,Falecido
57.22,44.39,29.98,27.24,38.87,69.89,74.13,59.02,1.80,55.70,1073.14,Falecido
54.12,41.79,27.68,26.44,33.87,59.66,65.93,49.48,1.76,46.20,1059.94,Falecido
58.20,45.41,30.12,28.09,44.58,72.69,77.25,62.84,1.63,56.70,1065.66,Nascido
57.22,44.88,29.23,27.99,41.61,72.25,75.16,60.35,1.74,56.70,1075.79,Nascido
55.77,42.47,29.66,26.12,35.71,63.82,68.82,52.66,1.79,50.00,1063.97,Nascido
60.13,43.53,31.97,28.16,42.91,72.77,75.15,59.66,1.70,56.50,1063.91,Nascido
57.69,44.06,30.35,27.34,40.76,69.95,73.90,58.63,1.72,53.80,1073.85,Nascido
59.18,45.29,32.37,26.81,44.64,75.33,78.01,63.57,1.69,60.00,1065.48,Nascido
56.16,43.63,30.58,25.59,41.68,68.94,71.57,55.98,1.65,53.40,1065.86,Nascido
55.70,43.86,28.98,26.71,40.61,68.21,71.57,56.10,1.68,52.90,1058.00,Nascido
56.57,43.51,29.18,27.39,37.98,66.82,71.68,56.06,1.76,53.90,1075.84,Nascido
59.13,46.57,31.94,27.18,47.48,74.55,80.70,67.15,1.57,62.50,1081.02,Nascido
56.25,42.94,28.14,28.12,37.49,65.27,70.23,54.32,1.74,53.00,1057.88,Nascido
56.99,42.18,30.13,26.85,37.41,65.56,69.36,53.08,1.75,52.30,1043.91,Falecido
58.63,43.01,32.47,26.16,44.44,69.94,72.65,56.78,1.57,51.20,1075.74,Nascido
58.77,42.20,30.88,27.89,44.94,70.93,71.06,54.79,1.58,51.90,1063.58,Nascido
60.73,45.42,30.87,29.87,47.16,73.11,79.80,65.62,1.55,58.40,1065.51,Nascido
58.70,42.91,30.12,28.59,42.42,69.55,72.47,56.59,1.64,53.30,1063.87,Nascido
61.06,44.84,32.16,28.90,45.98,69.96,78.86,64.27,1.52,58.10,1065.88,Nascido
57.64,42.94,31.45,26.18,36.74,63.10,71.55,55.64,1.72,52.40,1073.82,Nascido
58.96,44.06,32.65,26.31,40.19,68.46,75.17,59.92,1.70,53.00,1057.88,Nascido
57.09,42.51,29.90,27.18,38.94,66.86,70.13,54.02,1.72,51.10,1075.90,Nascido
54.94,43.16,29.09,25.85,36.47,65.00,69.43,53.58,1.78,52.50,1071.47,Nascido
57.38,41.54,30.45,26.94,35.04,62.73,68.44,51.84,1.79,50.00,1063.97,Nascido
58.66,45.08,29.95,28.71,41.48,69.71,76.99,62.40,1.68,56.20,1080.69,Nascido
60.10,44.70,30.81,29.29,41.90,71.97,77.60,62.87,1.72,60.00,1076.98,Nascido
59.02,45.21,29.90,29.12,43.71,72.57,77.63,63.17,1.66,57.10,1071.16,Nascido
57.70,43.41,30.12,27.59,34.19,67.70,72.56,56.93,1.98,52.70,1062.52,Nascido
55.51,42.70,27.89,27.62,35.78,63.14,69.02,52.98,1.76,51.30,1064.40,Nascido
58.56,44.75,32.67,25.89,35.52,67.31,76.26,61.41,1.90,58.70,1063.21,Nascido
